u	v	similarity
0	322	0.3638034376
0	409	0.5303300859
0	587	0.5457051563
0	1208	0.1020620726
0	2228	0.1336306210
0	3319	0.3952847075
0	3695	0.3649002246
0	3700	0.3125000000
0	3845	0.3500000000
0	4156	0.2867696673
0	4328	0.2886751346
0	4684	0.3125000000
0	4881	0.0620173673
0	4909	0.1443375673
0	4968	0.3162277660
1	40	0.1875000000
1	46	0.0912870929
1	1723	0.3779644730
1	1974	0.2886751346
1	2344	0.2500000000
1	2815	0.1507556723
1	2823	0.1336306210
1	2855	0.2500000000
1	3023	0.2080125736
1	3384	0.3015113446
1	3944	0.2551551815
1	4412	0.2581988897
1	4514	0.1507556723
1	4711	0.3244428423
1	4853	0.1677050983
2	263	0.1195228609
2	264	0.3796283012
2	486	0.2309401077
2	551	0.0932504808
2	976	0.0912870929
2	1274	0.1054092553
2	1570	0.2886751346
2	1577	0.1118033989
2	1619	0.3952847075
2	1755	0.3370999312
2	1858	0.3162277660
2	1862	0.1936491673
2	2007	0.3130495168
2	2028	0.3730019233
2	2351	0.2439750182
2	2382	0.3590924232
2	2591	0.4152273993
2	4125	0.0953462589
2	4787	0.2711630723
3	294	0.5869391857
3	650	0.6131393395
3	1292	0.7570332986
3	1341	0.5078333751
3	1572	0.1184697756
3	1712	0.0899842541
3	2089	0.6622661785
3	2428	0.5533715711
3	2560	0.5960395607
3	2581	0.6308932681
3	2686	0.5642880936
3	3055	0.7648661601
3	3079	0.5960395607
3	4144	0.6508140266
3	4226	0.5263157895
3	4261	0.5960395607
3	4513	0.5735393347
3	4592	0.6225430175
4	20	0.3481553119
4	58	0.3830654388
4	319	0.3481553119
4	352	0.3367876570
4	479	0.3735436838
4	987	0.3563483225
4	1191	0.4330127019
4	1209	0.1020620726
4	1530	0.3960590172
4	1827	0.4288450139
4	1839	0.4682929058
4	2288	0.4629100499
4	2299	0.2635231383
4	2539	0.4308202184
4	2764	0.2551551815
4	2995	0.3405026123
4	3081	0.4917075511
4	3240	0.0771516750
4	3325	0.2672612419
4	3834	0.3500700210
4	3996	0.3928371007
4	4108	0.3572172542
4	4970	0.2108185107
5	309	0.4260064336
5	1202	0.3333333333
5	1854	0.4260064336
5	2086	0.3835706412
5	2113	0.1369306394
5	3195	0.3726779962
5	3837	0.3580574370
5	4097	0.5070925528
5	4108	0.1936491673
5	4132	0.4260064336
5	4380	0.3302891295
5	4553	0.3892494721
5	4726	0.4714045208
5	4891	0.1217161239
6	16	0.6324555320
6	133	0.6324555320
6	203	0.1556997888
6	1295	0.6210590034
6	1549	0.5773502692
6	1925	0.7108186533
6	1929	0.2449489743
6	2564	0.5009794329
6	2837	0.6000000000
6	3157	0.5012804118
6	3997	0.5012804118
6	4130	0.5504818826
6	4501	0.1032795559
6	4813	0.6515837655
7	200	0.3466876226
7	1683	0.1773937188
7	2162	0.3202563076
7	2234	0.2264554068
7	2469	0.2223747950
7	2513	0.2864459496
7	2644	0.1307440901
7	3228	0.2401922307
7	3503	0.3631365196
7	4608	0.2223747950
7	4739	0.2148344622
7	4767	0.3144854510
8	935	0.3785166493
8	1001	0.0774984258
8	1179	0.3849001795
8	1312	0.2777777778
8	1749	0.5025189076
8	1968	0.5283959493
8	2035	0.3268602252
8	2109	0.4622501635
8	2269	0.3726779962
8	2606	0.1259881577
8	2629	0.4409585518
8	2692	0.0764719113
8	3753	0.3779644730
8	4049	0.4576043153
8	4519	0.4082482905
8	4631	0.4260064336
8	4776	0.4409585518
9	30	0.4841820261
