u	v	similarity
0	1287	0.5090278104
0	1675	0.4615384615
0	2363	0.1482498633
0	4756	0.0911921505
0	5899	0.6240377208
0	6904	0.4615384615
0	11458	0.3706246583
0	11804	0.4003203845
0	12436	0.5229763604
0	12673	0.1482498633
0	12713	0.3076923077
0	14445	0.5447047794
1	2926	0.2326210526
1	5774	0.1166423687
1	8528	0.3919309008
1	8619	0.3944053189
1	8922	0.2950844454
1	9927	0.3236694375
1	12087	0.2117024496
1	12416	0.3418817294
1	12834	0.3429138275
1	13063	0.1781741613
1	13435	0.2602400195
1	13561	0.3319700011
1	13984	0.2916059218
1	14432	0.2357022604
1	16537	0.3320261388
1	16673	0.2836543145
1	17809	0.3704792868
1	19326	0.1259881577
1	19454	0.2836543145
1	19541	0.2002504697
2	2910	0.4008918629
2	5959	0.1250000000
2	6021	0.5773502692
2	6811	0.4412613041
2	10367	0.4160251472
2	12474	0.3952847075
2	12896	0.2946278255
2	13766	0.1042572070
2	14494	0.4714045208
2	14804	0.1936491673
2	14976	0.4244373438
2	15973	0.5051814855
2	16036	0.4330127019
2	17657	0.3608439182
2	18030	0.3227486122
3	5887	0.2614881802
3	6460	0.3553345273
3	7637	0.1307440901
3	7653	0.3235751145
3	7776	0.2842676218
3	7841	0.2721655270
3	8423	0.2946278255
3	11098	0.1111111111
3	12526	0.2545875386
3	12942	0.1143323901
3	13373	0.1054092553
3	13598	0.2010075631
3	15104	0.2222222222
3	16594	0.2434322478
3	17705	0.2626128657
3	18387	0.3404414533
3	19026	0.2716072381
4	305	0.4179570038
4	1416	0.4954336943
4	2223	0.4558423058
4	3240	0.2934695928
4	3489	0.1139605765
4	3612	0.3413943710
4	4467	0.2696799450
4	5579	0.4045199175
4	5586	0.2571297386
4	7847	0.3181818182
4	8579	0.2696799450
4	9795	0.4453617714
4	10084	0.4136701520
4	11241	0.3916747259
4	12660	0.3603749851
4	14603	0.1005037815
4	15778	0.3517632353
4	15928	0.3302891295
4	16740	0.3302891295
4	17382	0.3198010745
4	19525	0.4685659301
5	525	0.3046358979
5	2978	0.3278050341
5	3807	0.2886751346
5	4224	0.2886751346
5	4349	0.3651483717
5	4881	0.0531494003
5	4912	0.2842676218
5	8945	0.4529108137
5	9777	0.4094615124
5	9834	0.3689323937
5	10940	0.3195048252
5	11782	0.3465516400
5	11821	0.0870388280
5	12505	0.3481553119
5	12615	0.4455663943
5	16311	0.3396831102
5	16313	0.0671156055
5	16612	0.2727723628
5	18802	0.2970442629
5	18812	0.1091089451
5	18858	0.3849001795
5	19950	0.4032795663
5	19985	0.2916666667
6	1652	0.6671243850
6	1746	0.1336306210
6	3346	0.6130060338
6	4391	0.4677071733
6	6763	0.5400617249
6	9578	0.5188745217
6	10938	0.6929348672
6	13584	0.6929348672
6	14215	0.5520524475
6	16918	0.6681531048
6	17945	0.5832118435
6	18811	0.5518254055
6	19093	0.5345224838
7	1272	0.4199193832
7	4403	0.2752409413
7	5945	0.3721936842
7	6147	0.0978231976
7	6291	0.4345240946
7	6851	0.2132007164
7	7462	0.3149183286
7	9113	0.2365249584
7	9750	0.3181818182
7	10372	0.3181818182
7	13379	0.0930484210
7	13956	0.2375422747
7	14302	0.3514244476
7	14581	0.2279211529
7	14783	0.3636363636
7	15702	0.3214121733
7	15826	0.3988620176
7	17327	0.2849014411
7	17407	0.3547874376
7	17547	0.2667325347
7	18341	0.3503245249
8	1280	0.4090909091
8	4389	0.2872134790
8	5659	0.4434842970
8	5973	0.4595037486
8	6907	0.2365249584
8	7247	0.3731012536
8	8389	0.2365249584
8	8424	0.3547874376
8	8698	0.3423811916
8	9677	0.3692744729
8	10635	0.1066003582
8	11046	0.4136701520
8	11363	0.3423811916
8	11478	0.3547874376
8	11839	0.3423811916
8	16805	0.3077287274
8	17990	0.2984810029
8	18381	0.3167230330
8	18385	0.0742269619
8	19425	0.3912927904
8	19702	0.4308202184
9	1524	0.4487691257
9	2496	0.4299446183
9	3092	0.2733040833
9	4342	0.4328526528
9	4557	0.3907737654
9	5269	0.3941159001
9	6069	0.1732592327
9	6330	0.0535671584
9	6641	0.3435822762
9	6779	0.3681050869
9	7289	0.4997560380
9	7532	0.4089589060
9	8046	0.3224584638
9	8087	0.4350110929
9	8171	0.2963188790
9	8185	0.0834783871
9	8303	0.4049155956
9	8380	0.3032036573
9	9247	0.0406641840
9	10085	0.2822672435
9	10693	0.3787770095
9	10737	0.3606678539
9	10887	0.2354408047
9	11128	0.4166547105
9	11305	0.3225911354
9	12690	0.3312945782
9	13460	0.3123475238
9	13745	0.0901669635
9	14317	0.3465184655
9	14478	0.2944840695
9	14558	0.3904344047
9	15227	0.0651289609
9	15456	0.3339135485
9	15491	0.2444506035
9	16417	0.3408993086
9	16903	0.5248488202
9	17142	0.2354408047
9	17258	0.3513909642
9	18633	0.4060103534
9	18966	0.4294778452
10	819	0.3148701428
10	1326	0.2926152399
10	1849	0.1691819738
10	2341	0.1625640222
10	2469	0.0787499231
10	2476	0.3576408488
10	2527	0.2386980188
10	2759	0.0681994339
10	3002	0.2299002449
10	3145	0.3062653255
10	3405	0.4611123342
10	3838	0.2641352719
10	4605	0.1907889002
10	4939	0.3897922325
10	5272	0.2299002449
10	5727	0.2445417438
10	7109	0.2114774672
10	7951	0.3431217832
10	8023	0.2852987011
10	8089	0.2756247308
10	8999	0.2990743023
10	10033	0.3431217832
10	10817	0.2362497693
10	11165	0.2411214111
10	11651	0.2852987011
10	12316	0.2156655464
10	12564	0.3616821166
10	13139	0.2589043525
10	13239	0.2362497693
10	13435	0.0454662893
10	14126	0.1760901813
10	14261	0.3218603429
10	15191	0.2033314271
10	15211	0.2861833503
10	16919	0.2287478555
10	17224	0.2201127266
10	17244	0.3608774836
10	18194	0.0739726721
10	18611	0.0845909869
10	18860	0.3112864032
10	19512	0.5027349509
10	19962	0.0515539262
11	706	0.2773500981
11	5440	0.1538461538
11	6791	0.4981354814
11	8982	0.4576043153
11	11245	0.0951302988
11	11812	0.5604485383
11	13334	0.4615384615
11	13941	0.3363363970
11	14738	0.5547001962
11	15194	0.3469889592
11	16080	0.4576043153
11	16092	0.4160251472
12	4878	0.1482498633
12	5409	0.2941742027
12	5416	0.4447495900
12	5517	0.3432032365
12	6431	0.3466876226
12	7230	0.4160251472
12	11268	0.1272569526
12	13478	0.3551104121
12	15119	0.3268602252
12	15450	0.4160251472
12	15915	0.2864459496
12	19765	0.3191725268
13	542	0.5582421957
13	797	0.4588314677
13	1526	0.5298129428
13	4152	0.3826918986
13	6650	0.3590924232
13	7180	0.0978231976
