0	2120 5740 11045 11751 17802 18203 24727 25086 28145
2120	0 2614 7269 10885 11045 11751 14859 18203 21542 22051 25086 28145 28953 30988 32387 38497 39409
5740	0 18203 28953
11045	0 2120 10885 22051 24350 28145 28953 32387
11751	0 2120 10885 17802 21542 24350 25086 25250 28145
17802	0 11751
18203	0 2120 5740 28953
24727	0 10885 21542 24350 28145 28953
25086	0 2120 11751
28145	0 2120 7269 11045 11751 17581 21081 21542 22051 24350 24727 25250 28953 32387 36075 39409
2	11469 15951 36340 36903
11469	2 6200 10024 15951 22387 31527 33810 36340 36903 39818
15951	2 6200 10024 11469 11545 18481 22387 39818
36340	2 10024 11469 22387 28817 36903
36903	2 7341 10024 11469 11545 13717 22387 28817 31527 36340
3	8533 32789 33864
8533	3 752 32789
32789	3 2426 4173 6262 7023 8533 10596 12308 15968 16722 16995 20004 20601 21471 26627 33864 36369 39032
33864	3 2426 4173 10596 16995 32789 39032
4	26597 34074 35455 37980
26597	4 6545 34074
34074	4 1326 2852 3859 6996 18961 21350 21511 26597 27213 33090 35455 36170 37023
35455	4 1326 1683 2852 6996 9627 21350 21511 27213 33090 34074 36170
37980	4 37023
5	5573 9316 12371 20653 23604 28372 28989 29176 34234
5573	5
9316	5 3038 9794 11340 12371 23362 23604 26477 28372 29176 36680 37935
12371	5 1866 9316 17314 18768 20653 23362 23604 28372 29176 34234 36680 37935
20653	5 5702 12371 16728 17314 23362 28372 28989 29176 34234 37935
23604	5 3038 9316 12371 28372 28549 29176 36680
28372	5 5702 9316 12371 16728 17314 18768 20653 23362 23604 28549 28989 29176 34234 37935
28989	5 5702 20653 28372 34234
29176	5 3038 9316 12371 20653 23362 23604 28372 37935
34234	5 5702 12371 17314 18768 20653 28372 28989 37935
6	701 9858 10112 10554 16694 19415 19727 20933 25984 26149 30672 33552 34820
701	6 9858 10112 10881 19415 19727 25984 26149 33552
9858	6 701 10112 10881 11287 16694 19415 19727 20933 22254 25984 26149 30672 32164 33552 35044
10112	6 701 9858 10881 19727 21169 25984 26149 33552 34460 35044
10554	6 10881 19727 20933 26149 30672
16694	6 9858 25984 35044
19415	6 701 4617 5649 9858 10881 19727 21169 22254 25984 26149 32164 33552 35044
19727	6 701 4617 9858 10112 10554 10881 19415 20933 21169 22254 26149 30672 33552 34820 35044
20933	6 9858 10554 19727
25984	6 701 5649 9858 10112 10881 16694 19415 21169 26149 33552 34460 35044
26149	6 701 4617 5649 9858 10112 10554 10881 19415 19727 21169 22254 25984 30672 32164 33552 34460 34820 35044
30672	6 9858 10554 19727 26149
33552	6 701 9858 10112 19415 19727 21169 25984 26149
34820	6 19727 26149
7	225 492 3490 5601 8746 14390 21643 26382 27286 32430 34274 34900
225	7 3490 8746 10277 12902 13444 21502 21643 26382 27286 32430
492	7 3490 13444 21643 25961
3490	7 225 492 25961 26382 32430
5601	7 8746 25961 26382
8746	7 225 5601 27286 32430
