node	label
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	1
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	21
23	1
24	22
25	19
26	23
27	24
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32
36	29
37	33
38	34
39	5
40	18
41	35
42	36
43	18
44	37
45	16
46	38
47	39
48	40
49	41
50	42
51	43
52	44
53	39
54	45
55	46
56	47
57	48
58	49
59	21
60	50
61	51
62	52
63	53
64	48
65	54
66	55
67	56
68	57
69	58
70	59
71	60
72	61
73	62
74	63
75	64
76	65
77	66
78	67
79	68
80	30
81	16
82	59
83	69
84	70
85	36
86	0
87	71
88	72
89	73
90	73
91	74
92	29
93	71
94	60
95	53
96	54
97	75
98	76
99	43
100	57
101	77
102	42
103	78
104	79
105	80
106	81
107	82
108	33
109	83
110	56
111	84
112	52
113	85
114	86
115	87
116	88
117	89
118	26
119	90
120	91
121	78
122	92
123	93
124	66
125	2
126	94
127	95
128	96
129	63
130	97
131	98
132	99
133	100
134	70
135	45
136	101
137	26
138	2
139	48
140	102
141	103
142	104
143	27
144	105
145	106
146	107
147	108
148	109
149	110
150	111
151	71
152	59
153	44
154	27
155	112
156	10
157	8
158	10
159	113
160	8
161	71
162	95
163	114
164	115
165	88
166	116
167	117
168	105
169	96
170	41
171	118
172	105
173	119
174	7
175	120
176	87
177	17
178	2
179	121
180	122
181	107
182	8
183	123
184	48
185	28
186	124
187	125
188	126
189	127
190	128
191	129
192	130
193	30
194	131
195	132
196	133
197	44
198	128
199	117
200	4
201	134
202	135
203	136
204	137
205	16
206	138
207	10
208	15
209	68
210	102
211	139
212	11
213	140
214	3
215	141
216	142
217	143
218	144
219	145
220	63
221	33
222	146
223	81
224	147
225	140
226	108
227	148
228	149
229	102
230	20
231	147
232	90
233	103
234	87
235	150
236	121
237	151
238	152
239	98
240	153
241	38
242	154
243	155
244	135
245	38
246	28
247	56
248	147
249	47
250	8
251	156
252	157
253	144
254	41
255	103
256	156
257	158
258	24
259	91
260	131
261	69
262	159
263	119
264	56
265	160
266	60
267	161
268	50
269	127
270	82
271	152
272	7
273	110
274	138
275	162
276	31
277	44
278	19
279	163
280	164
281	46
282	36
283	18
284	99
285	164
286	134
287	62
288	33
289	110
290	8
291	87
292	157
293	116
294	99
295	165
296	8
297	14
298	32
299	106
300	67
301	35
302	166
303	11
304	89
305	82
306	167
307	168
308	169
309	170
310	11
311	171
312	24
313	114
314	35
315	113
316	119
317	172
318	173
319	174
320	135
321	52
322	64
323	47
324	175
325	176
326	90
327	79
328	47
329	3
330	177
331	70
332	56
333	24
334	93
335	58
336	65
337	178
338	179
339	38
340	97
341	180
342	90
343	115
344	50
345	47
346	181
347	123
348	73
349	98
350	182
351	183
352	94
353	98
354	152
355	162
356	184
357	41
358	142
359	150
360	38
361	52
362	172
363	139
364	64
365	100
366	185
367	27
368	186
369	77
370	84
371	50
372	145
373	27
374	187
375	124
376	187
377	80
378	118
379	35
380	48
381	144
382	59
383	120
384	127
385	156
386	11
387	36
388	63
389	8
390	54
391	117
392	178
393	98
394	188
395	170
396	79
397	102
398	189
399	66
400	144
401	190
402	191
403	9
404	192
405	179
406	142
407	130
408	121
409	193
410	194
411	39
412	57
413	91
414	124
415	195
416	196
417	15
418	64
419	55
420	37
421	29
422	153
423	39
424	10
425	11
426	102
427	106
428	159
429	184
430	171
431	70
432	67
433	188
434	166
435	1
436	46
437	191
438	91
439	22
440	197
441	198
442	117
443	61
444	107
445	66
446	146
447	199
448	170
449	109
450	190
451	200
452	106
453	164
454	7
455	191
456	201
457	78
458	192
459	165
460	126
461	118
462	178
463	64
464	2
465	17
466	141
467	18
468	96
469	191
470	38
471	195
472	180
473	162
474	127
475	99
476	174
477	66
478	69
479	45
480	138
481	101
482	35
483	124
484	68
485	116
486	35
487	167
488	97
489	202
490	199
491	200
492	2
493	189
494	77
495	203
496	204
497	201
498	106
499	147
500	205
501	104
502	17
503	74
504	177
505	45
506	69
507	169
508	87
509	147
510	138
511	161
512	161
513	206
514	100
515	109
516	2
517	9
518	202
519	73
520	173
521	22
522	148
523	106
524	164
525	70
526	80
527	162
528	25
529	2
530	137
531	201
532	134
533	130
534	166
535	106
536	104
537	79
538	197
539	16
540	4
541	128
542	172
543	106
544	148
545	9
546	139
547	203
548	174
549	124
550	205
551	95
552	177
553	48
554	144
555	15
556	73
557	2
558	59
559	132
560	152
561	28
562	30
563	133
564	166
565	147
566	173
567	35
568	53
569	165
570	41
571	117
572	148
573	42
574	93
575	203
576	77
577	86
578	58
579	141
580	131
581	175
582	157
583	135
584	163
585	80
586	81
587	200
588	38
589	39
590	181
591	46
592	23
593	111
594	138
595	8
596	165
597	78
598	49
599	91
600	52
601	80
602	50
603	182
604	163
605	177
606	148
607	185
608	130
609	127
610	123
611	192
612	43
613	120
614	187
615	139
616	100
617	203
618	13
619	175
620	41
621	16
622	188
623	109
624	9
625	103
626	94
627	19
628	137
629	61
630	78
631	7
632	130
633	10
634	17
635	5
636	50
637	20
638	80
639	76
640	207
641	8
642	53
643	190
644	58
645	36
646	61
647	140
648	147
649	146
650	180
651	121
652	116
653	84
654	173
655	118
656	109
657	204
658	26
659	159
660	113
661	180
662	117
663	173
664	11
665	208
666	81
667	31
668	209
669	19
670	105
671	144
672	166
673	202
674	101
675	57
676	35
677	88
678	37
679	199
680	173
681	137
682	2
683	187
684	178
685	87
686	31
687	106
688	180
689	137
690	205
691	5
692	152
693	205
694	182
695	55
696	81
697	96
698	11
699	31
700	182
701	210
702	75
703	188
704	31
705	115
706	71
707	206
708	31
709	11
710	190
711	197
712	134
713	191
714	146
715	111
716	75
717	150
718	150
719	31
720	148
721	27
722	63
723	173
724	211
725	208
726	203
727	11
728	130
729	12
730	86
731	151
732	134
733	199
734	118
735	102
736	153
737	11
738	109
739	153
740	18
741	206
742	112
743	148
744	146
745	89
746	23
747	14
748	38
749	104
750	133
751	189
752	107
753	68
754	174
755	94
756	43
757	127
758	25
759	106
760	87
761	98
762	14
763	145
764	170
765	104
766	212
767	185
768	213
769	91
770	199
771	4
772	104
773	194
774	45
775	196
776	145
777	202
778	175
779	212
780	33
781	93
782	143
783	161
784	162
785	192
786	171
787	109
788	214
789	194
790	92
791	133
792	162
793	204
794	54
795	192
796	11
797	173
798	190
799	6
800	6
801	157
802	89
803	64
804	33
805	171
806	132
807	196
808	88
809	204
810	78
811	195
812	40
813	162
814	1
815	44
816	13
817	196
818	55
819	145
820	24
821	4
822	58
823	24
824	13
825	119
826	77
827	22
828	215
829	213
830	41
831	98
832	88
833	56
834	45
835	125
836	96
837	151
838	152
839	144
840	62
841	182
842	99
843	9
844	184
845	216
846	16
847	102
848	9
849	217
850	94
851	23
852	1
853	197
854	200
855	124
856	13
857	0
858	83
859	117
860	127
861	190
862	18
863	36
864	24
865	90
866	86
867	218
868	108
869	42
870	42
871	118
872	128
873	98
874	139
875	92
876	211
877	105
878	135
879	189
880	82
881	217
882	42
883	167
884	3
885	75
886	150
887	18
888	164
889	129
890	3
891	85
892	29
893	154
894	127
895	107
896	167
897	172
898	189
899	219
900	5
901	68
902	208
903	200
904	113
905	88
906	27
907	53
908	82
909	172
910	22
911	105
912	71
913	124
914	26
915	113
916	58
917	189
918	138
919	211
920	45
921	202
922	179
923	29
924	59
925	99
926	179
927	45
928	145
929	62
930	107
931	81
932	159
933	6
934	143
935	119
936	2
937	7
938	15
939	162
940	27
941	131
942	82
943	3
944	98
945	62
946	169
947	41
948	38
949	41
950	218
951	143
952	149
953	46
954	66
955	19
956	131
957	216
958	217
959	49
960	90
961	172
962	159
963	129
964	125
965	200
966	216
967	105
968	205
969	86
970	190
971	77
972	106
973	138
974	147
975	150
976	150
977	125
978	77
979	193
980	104
981	159
982	10
983	100
984	191
985	197
986	165
987	14
988	143
989	0
990	2
991	83
992	169
993	35
994	125
995	148
996	220
997	163
998	127
999	26
1000	73
1001	157
1002	17
1003	101
1004	160
1005	202
1006	101
1007	204
1008	146
1009	116
1010	185
1011	99
1012	129
1013	17
1014	143
1015	148
1016	221
1017	116
1018	134
1019	82
1020	51
1021	182
1022	107
1023	58
1024	205
1025	54
1026	71
1027	151
1028	207
1029	152
1030	156
1031	219
1032	202
1033	56
1034	3
1035	195
1036	170
1037	150
1038	157
1039	37
1040	97
1041	146
1042	124
1043	37
1044	91
1045	146
1046	220
1047	29
1048	162
1049	111
1050	79
1051	158
1052	163
1053	81
1054	199
1055	85
1056	147
1057	63
1058	24
1059	37
1060	110
